省份,年份,GDP_亿元,常住人口_万人,人均GDP_万元,ln人均GDP,第一产业增加值_亿元,第二产业增加值_亿元,第三产业增加值_亿元,产业结构_二产占比,第三产业占比,产业结构高级化,城镇化率,CO2排放总量_万吨,碳排放强度,人均CO2_吨
上海,2018,37769.1,2475.0,15.26,11.9356,104.8,10360.8,27303.5,27.43,72.29,2.6353,89.13,40477.4,1.0717,16.355
上海,2019,40241.2,2481.0,16.22,11.9966,107.1,10317.1,29817.1,25.64,74.1,2.8901,89.24,42970.18,1.0678,17.32
上海,2020,41603.9,2488.0,16.722,12.0271,107.7,10356.7,31139.5,24.89,74.85,3.0067,89.31,41488.15,0.9972,16.675
上海,2021,47059.4,2489.0,18.907,12.1499,96.0,11425.4,35538.0,24.28,75.52,3.1104,89.31,42215.34,0.8971,16.961
上海,2022,48594.5,2475.0,19.634,12.1876,100.0,11386.4,37108.1,23.43,76.36,3.259,89.33,58776.15,1.2095,23.748
云南,2018,21427.5,4703.0,4.556,10.7268,2498.7,7267.5,11661.3,33.92,54.42,1.6046,47.44,45771.13,2.1361,9.732
云南,2019,23902.1,4714.0,5.07,10.8337,3037.7,8152.1,12712.3,34.11,53.18,1.5594,48.66,39398.63,1.6483,8.358
云南,2020,25214.5,4722.0,5.34,10.8856,3611.8,8427.8,13175.0,33.42,52.25,1.5633,50.04,46417.65,1.8409,9.83
云南,2021,27895.3,4690.0,5.948,10.9934,3832.3,9535.2,14527.8,34.18,52.08,1.5236,51.04,45989.41,1.6486,9.806
云南,2022,29301.1,4693.0,6.244,11.042,4001.9,9985.8,15313.4,34.08,52.26,1.5335,51.72,45084.17,1.5387,9.607
内蒙古,2018,16252.9,2422.0,6.711,11.1141,1750.7,6335.4,8166.8,38.98,50.25,1.2891,65.52,183701.53,11.3027,75.847
内蒙古,2019,17479.4,2415.0,7.238,11.1897,1863.3,6774.0,8842.2,38.75,50.59,1.3053,66.46,208368.52,11.9208,86.281
内蒙古,2020,17623.4,2403.0,7.334,11.2029,2028.8,6789.7,8804.9,38.53,49.96,1.2968,67.5,224789.26,12.7552,93.545
内蒙古,2021,21584.8,2400.0,8.994,11.4069,2354.6,9646.5,9583.6,44.69,44.4,0.9935,68.21,223374.82,10.3487,93.073
内蒙古,2022,23795.7,2401.0,9.911,11.504,2655.1,10916.8,10223.9,45.88,42.97,0.9365,68.6,228238.31,9.5916,95.06
北京,2018,35161.4,2192.0,16.041,11.9855,120.6,5477.4,29563.5,15.58,84.08,5.3974,87.09,21322.32,0.6064,9.727
北京,2019,37767.0,2190.0,17.245,12.0579,114.4,5812.9,31839.7,15.39,84.31,5.4774,87.35,21357.79,0.5655,9.752
北京,2020,38503.6,2189.0,17.59,12.0777,108.3,5899.8,32495.5,15.32,84.4,5.5079,87.53,19868.64,0.516,9.077
北京,2021,44350.7,2189.0,20.261,12.219,111.4,7732.2,36507.1,17.43,82.31,4.7214,87.53,19977.31,0.4504,9.126
北京,2022,45222.4,2184.0,20.706,12.2408,111.5,6960.4,38150.6,15.39,84.36,5.4811,87.59,20317.77,0.4493,9.303
吉林,2018,11437.4,2484.0,4.604,10.7373,1160.7,4051.5,6225.1,35.42,54.43,1.5365,60.87,42439.33,3.7106,17.085
吉林,2019,11949.4,2448.0,4.881,10.7957,1287.3,4162.0,6500.1,34.83,54.4,1.5618,61.64,43557.88,3.6452,17.793
吉林,2020,12499.5,2399.0,5.21,10.8609,1553.0,4337.3,6609.1,34.7,52.87,1.5238,62.65,40775.2,3.2621,16.997
吉林,2021,13431.1,2375.0,5.655,10.9429,1554.0,4713.7,7163.4,35.1,53.33,1.5197,63.37,41715.53,3.1059,17.564
吉林,2022,13121.4,2348.0,5.588,10.931,1689.1,4274.9,7157.4,32.58,54.55,1.6743,63.71,40982.46,3.1233,17.454
四川,2018,43539.0,8321.0,5.232,10.8651,4427.4,16056.9,23054.7,36.88,52.95,1.4358,53.5,59211.68,1.36,7.116
四川,2019,47168.6,8351.0,5.648,10.9416,4807.5,17202.7,25158.5,36.47,53.34,1.4625,55.36,65095.38,1.3801,7.795
四川,2020,49445.1,8371.0,5.907,10.9865,5556.9,17594.8,26293.4,35.58,53.18,1.4944,56.73,63120.84,1.2766,7.54
四川,2021,55131.3,8372.0,6.585,11.0951,5662.8,20016.5,29452.0,36.31,53.42,1.4714,57.82,64504.8,1.17,7.705
四川,2022,57609.4,8374.0,6.88,11.139,5965.5,20314.0,31330.0,35.26,54.38,1.5423,58.35,62873.78,1.0914,7.508
天津,2018,13411.1,1383.0,9.697,11.4822,175.3,4835.3,8400.5,36.05,62.64,1.7373,83.95,35554.85,2.6512,25.708
天津,2019,14097.2,1385.0,10.178,11.5306,185.4,5016.9,8894.9,35.59,63.1,1.773,84.33,35618.5,2.5266,25.717
天津,2020,14230.8,1387.0,10.26,11.5386,210.3,4966.6,9053.8,34.9,63.62,1.8229,84.72,33150.99,2.3295,23.901
天津,2021,16093.2,1373.0,11.721,11.6717,265.9,5780.5,10046.8,35.92,62.43,1.7381,84.85,36753.56,2.2838,26.769
天津,2022,16588.5,1363.0,12.171,11.7094,273.2,6092.7,10222.7,36.73,61.63,1.6779,85.11,36050.49,2.1732,26.449
宁夏,2018,3580.6,710.0,5.043,10.8283,279.4,1488.1,1813.1,41.56,50.64,1.2184,62.11,53388.2,14.9104,75.195
宁夏,2019,3841.5,717.0,5.358,10.8889,280.0,1588.0,1973.6,41.34,51.38,1.2428,63.6,56779.15,14.7805,79.19
宁夏,2020,4036.2,721.0,5.598,10.9327,338.1,1604.8,2093.3,39.76,51.86,1.3044,64.91,59125.09,14.6487,82.004
宁夏,2021,4666.5,725.0,6.437,11.0724,364.6,2036.6,2265.3,43.64,48.54,1.1123,66.07,63610.04,13.6312,87.738
宁夏,2022,5168.1,728.0,7.099,11.1703,407.5,2318.6,2441.9,44.86,47.25,1.0532,66.35,67546.63,13.0699,92.784
安徽,2018,34377.3,6076.0,5.658,10.9434,2638.0,14094.4,17644.9,41.0,51.33,1.2519,55.65,83309.07,2.4234,13.711
安徽,2019,37584.8,6092.0,6.17,11.03,2915.9,14895.9,19773.0,39.63,52.61,1.3274,57.03,85144.94,2.2654,13.977
安徽,2020,38628.8,6105.0,6.327,11.0552,3184.9,15286.7,20157.2,39.57,52.18,1.3186,58.33,86798.25,2.247,14.218
安徽,2021,43102.8,6113.0,7.051,11.1635,3363.9,16925.5,22813.5,39.27,52.93,1.3479,59.4,89681.85,2.0807,14.671
安徽,2022,45525.1,6127.0,7.43,11.2159,3516.5,17697.0,24311.6,38.87,53.4,1.3738,60.16,83984.0,1.8448,13.707
山东,2018,67864.4,10077.0,6.735,11.1177,4950.5,27523.7,35390.2,40.56,52.15,1.2858,61.46,291373.02,4.2935,28.915
山东,2019,72024.3,10106.0,7.127,11.1742,5116.9,28464.9,38442.5,39.52,53.37,1.3505,61.86,300024.19,4.1656,29.688
山东,2020,74355.9,10165.0,7.315,11.2003,5364.4,29008.0,39983.5,39.01,53.77,1.3784,63.05,309012.36,4.1559,30.4
山东,2021,84838.0,10170.0,8.342,11.3316,6026.9,34084.0,44727.1,40.18,52.72,1.3123,63.94,308987.84,3.6421,30.382
山东,2022,89519.4,10163.0,8.808,11.386,6296.2,36037.2,47186.0,40.26,52.71,1.3094,64.54,292596.81,3.2685,28.79
山西,2018,16153.1,3502.0,4.613,10.7392,740.8,7074.5,8337.9,43.8,51.62,1.1786,59.85,335310.52,20.7583,95.748
山西,2019,17311.0,3497.0,4.95,10.8097,825.3,7402.9,9082.7,42.76,52.47,1.2269,61.28,346600.5,20.022,99.114
山西,2020,18202.7,3490.0,5.216,10.8621,1166.6,7440.2,9595.9,40.87,52.72,1.2897,62.52,391610.93,21.5139,112.209
山西,2021,23087.8,3480.0,6.634,11.1025,1286.7,10892.5,10908.6,47.18,47.25,1.0015,63.42,426537.49,18.4746,122.568
山西,2022,25653.2,3481.0,7.369,11.2076,1335.3,12667.1,11650.9,49.38,45.42,0.9198,63.95,455620.84,17.7608,130.888
广东,2018,101875.9,12348.0,8.25,11.3206,3836.4,41398.5,56641.1,40.64,55.6,1.3682,71.81,132997.37,1.3055,10.771
广东,2019,110468.1,12489.0,8.845,11.3902,4350.6,43528.6,62588.8,39.4,56.66,1.4379,72.65,131326.18,1.1888,10.515
广东,2020,113708.9,12624.0,9.007,11.4083,4732.7,43756.4,65219.7,38.48,57.36,1.4905,74.15,138880.98,1.2214,11.001
广东,2021,127577.4,12684.0,10.058,11.5187,4985.1,49977.2,72615.1,39.17,56.92,1.453,74.63,161272.79,1.2641,12.715
广东,2022,132547.1,12657.0,10.472,11.559,5350.0,51341.4,75855.7,38.73,57.23,1.4775,74.78,158883.09,1.1987,12.553
广西,2018,19951.7,4947.0,4.033,10.6049,3021.1,6692.9,10237.8,33.55,51.31,1.5297,51.83,47706.44,2.3911,9.644
广西,2019,21341.5,4982.0,4.284,10.6652,3389.7,6870.3,11081.5,32.19,51.92,1.613,52.97,51153.1,2.3969,10.268
广西,2020,22250.7,5019.0,4.433,10.6994,3645.9,7067.6,11537.2,31.76,51.85,1.6324,54.19,49315.36,2.2164,9.826
广西,2021,25311.5,5037.0,5.025,10.8248,4051.8,8523.3,12736.5,33.67,50.32,1.4943,55.07,54463.36,2.1517,10.813
广西,2022,26419.7,5047.0,5.235,10.8657,4270.4,8867.3,13282.0,33.56,50.27,1.4979,55.66,52551.68,1.9891,10.412
新疆,2018,13110.1,2520.0,5.202,10.8594,1692.1,4657.2,6760.9,35.52,51.57,1.4517,54.01,106084.86,8.0918,42.097
新疆,2019,14024.9,2559.0,5.481,10.9116,1781.7,4824.9,7418.3,34.4,52.89,1.5375,55.53,113585.97,8.0989,44.387
新疆,2020,14262.2,2590.0,5.507,10.9164,1981.3,4798.5,7482.4,33.64,52.46,1.5593,56.53,124597.91,8.7362,48.107
新疆,2021,16791.5,2589.0,6.486,11.08,2358.7,6281.3,8151.5,37.41,48.55,1.2977,57.24,140684.78,8.3783,54.339
新疆,2022,18550.5,2587.0,7.171,11.1804,2653.8,7312.7,8584.0,39.42,46.27,1.1738,57.9,150967.6,8.1382,58.356
江苏,2018,93456.3,8446.0,11.065,11.6141,4141.7,42129.4,47185.2,45.08,50.49,1.12,71.19,150450.24,1.6098,17.813
江苏,2019,99836.9,8469.0,11.789,11.6775,4297.2,44281.4,51258.3,44.35,51.34,1.1576,72.46,149075.09,1.4932,17.602
江苏,2020,104566.6,8477.0,12.335,11.7228,4537.6,45391.4,54637.6,43.41,52.25,1.2037,73.45,146331.47,1.3994,17.262
江苏,2021,119853.2,8505.0,14.092,11.8559,4719.1,53575.8,61558.4,44.7,51.36,1.149,73.94,154997.76,1.2932,18.224
江苏,2022,124564.2,8515.0,14.629,11.8933,4963.9,55343.4,64256.9,44.43,51.59,1.1611,74.42,155614.05,1.2493,18.275
江西,2018,23016.9,4513.0,5.1,10.8396,1877.3,10081.2,11058.4,43.8,48.04,1.0969,57.35,39585.86,1.7199,8.772
江西,2019,24724.0,4516.0,5.475,10.9105,2057.7,10385.3,12281.0,42.0,49.67,1.1825,59.08,40215.26,1.6266,8.905
江西,2020,25825.4,4519.0,5.715,10.9534,2243.8,10631.7,12949.9,41.17,50.14,1.218,60.43,39362.56,1.5242,8.71
江西,2021,29838.2,4517.0,6.606,11.0983,2334.0,12559.3,14945.0,42.09,50.09,1.19,61.46,40661.82,1.3627,9.002
江西,2022,31568.1,4528.0,6.972,11.1522,2466.4,12832.9,16268.8,40.65,51.54,1.2677,62.08,35710.78,1.1312,7.887
河北,2018,32947.0,7426.0,4.437,10.7003,3338.6,12904.1,16704.3,39.17,50.7,1.2945,57.33,127872.54,3.8812,17.22
河北,2019,35623.5,7447.0,4.784,10.7756,3518.4,13600.9,18504.2,38.18,51.94,1.3605,58.78,129889.89,3.6462,17.442
河北,2020,36821.5,7464.0,4.933,10.8063,3880.4,13938.0,19003.1,37.85,51.61,1.3634,60.08,128812.94,3.4983,17.258
河北,2021,41205.4,7448.0,5.532,10.9209,4029.3,16450.8,20725.3,39.92,50.3,1.2598,61.14,127114.03,3.0849,17.067
河北,2022,43198.3,7420.0,5.822,10.972,4408.4,16406.7,22383.3,37.98,51.82,1.3643,61.66,128334.05,2.9708,17.296
河南,2018,50273.5,9864.0,5.097,10.839,4311.1,21446.8,24515.5,42.66,48.76,1.1431,52.24,108949.8,2.1671,11.045
河南,2019,53739.3,9901.0,5.428,10.9019,4635.7,22185.5,26918.2,41.28,50.09,1.2133,54.01,101363.45,1.8862,10.238
河南,2020,54160.6,9941.0,5.448,10.9056,5354.0,21416.6,27390.0,39.54,50.57,1.2789,55.43,102462.8,1.8918,10.307
河南,2021,57806.9,9883.0,5.849,10.9766,5626.1,22571.0,29609.7,39.05,51.22,1.3118,56.45,104238.74,1.8032,10.547
河南,2022,58807.4,9872.0,5.957,10.9949,5731.0,22122.5,30953.9,37.62,52.64,1.3992,57.06,104167.13,1.7713,10.552
浙江,2018,59311.7,6273.0,9.455,11.4569,1975.9,25308.1,32027.7,42.67,54.0,1.2655,70.01,92327.24,1.5566,14.718
浙江,2019,64632.0,6375.0,10.138,11.5266,2086.7,26643.3,35902.0,41.22,55.55,1.3475,71.58,98251.81,1.5202,15.412
浙江,2020,67164.5,6468.0,10.384,11.5506,2166.3,26638.2,38360.0,39.66,57.11,1.44,72.17,110081.36,1.639,17.019
浙江,2021,76765.3,6540.0,11.738,11.6732,2211.9,31370.7,43182.7,40.87,56.25,1.3765,72.66,127602.0,1.6622,19.511
浙江,2022,80770.0,6577.0,12.281,11.7184,2185.2,32873.3,45711.5,40.7,56.59,1.3905,73.38,140180.46,1.7356,21.314
海南,2018,5004.2,982.0,5.096,10.8388,986.0,1053.1,2965.1,21.04,59.25,2.8156,59.16,17447.61,3.4866,17.767
海南,2019,5442.1,995.0,5.469,10.9094,1079.0,1095.6,3267.6,20.13,60.04,2.9825,59.4,18187.16,3.3419,18.279
海南,2020,5640.8,1012.0,5.574,10.9285,1136.0,1074.6,3430.2,19.05,60.81,3.1921,60.28,17913.73,3.1757,17.701
海南,2021,6508.9,1020.0,6.381,11.0637,1254.5,1233.1,4021.2,18.94,61.78,3.261,60.98,18866.52,2.8986,18.497
海南,2022,6912.8,1027.0,6.731,11.1171,1417.8,1281.4,4213.6,18.54,60.95,3.2883,61.44,16761.85,2.4248,16.321
湖北,2018,42425.5,5917.0,7.17,11.1802,3548.2,17573.9,21303.4,41.42,50.21,1.2122,60.99,59252.65,1.3966,10.014
湖北,2019,45557.0,5927.0,7.686,11.2497,3809.4,18397.1,23350.6,40.38,51.26,1.2693,61.84,64686.98,1.4199,10.914
湖北,2020,43017.6,5745.0,7.488,11.2236,4133.2,16359.6,22524.7,38.03,52.36,1.3768,62.89,55742.32,1.2958,9.703
湖北,2021,50093.3,5830.0,8.592,11.3612,4634.0,19241.3,26218.0,38.41,52.34,1.3626,64.08,66266.4,1.3229,11.366
湖北,2022,53445.4,5844.0,9.145,11.4235,4981.9,19948.5,28515.0,37.33,53.35,1.4294,64.66,68062.26,1.2735,11.647
湖南,2018,36629.3,6635.0,5.521,10.9189,3084.2,13904.1,19641.0,37.96,53.62,1.4126,56.1,52323.16,1.4285,7.886
湖南,2019,39930.7,6640.0,6.014,11.0044,3647.2,14974.8,21308.8,37.5,53.36,1.423,57.45,52078.91,1.3042,7.843
湖南,2020,41693.7,6645.0,6.274,11.0468,4240.7,15577.3,21875.6,37.36,52.47,1.4043,58.77,49497.29,1.1872,7.449
湖南,2021,45751.9,6622.0,6.909,11.1432,4322.3,17325.9,24103.7,37.87,52.68,1.3912,59.71,47201.44,1.0317,7.128
湖南,2022,47957.9,6604.0,7.262,11.193,4601.2,17519.8,25836.8,36.53,53.87,1.4747,60.31,47267.74,0.9856,7.157
甘肃,2018,8364.7,2515.0,3.326,10.4121,926.1,2761.6,4677.0,33.01,55.91,1.6936,49.7,42025.3,5.0241,16.71
甘肃,2019,9053.3,2509.0,3.608,10.4935,1059.3,2914.2,5079.8,32.19,56.11,1.7431,50.7,42649.08,4.7109,16.998
甘肃,2020,9323.1,2501.0,3.728,10.5262,1188.1,2891.9,5243.1,31.02,56.24,1.813,52.22,45021.15,4.829,18.001
甘肃,2021,10608.0,2490.0,4.26,10.6596,1364.8,3531.6,5711.6,33.29,53.84,1.6173,53.33,48175.52,4.5414,19.348
甘肃,2022,11553.6,2492.0,4.636,10.7442,1499.7,3981.5,6072.4,34.46,52.56,1.5252,54.21,46996.81,4.0677,18.859
福建,2018,39204.8,4104.0,9.553,11.4672,2379.0,18847.8,17978.0,48.08,45.86,0.9539,66.98,59019.64,1.5054,14.381
福建,2019,42479.1,4137.0,10.268,11.5394,2595.5,19578.6,20305.0,46.09,47.8,1.0371,67.88,64694.34,1.523,15.638
福建,2020,43682.0,4161.0,10.498,11.5615,2730.8,19509.7,21441.6,44.66,49.09,1.099,68.76,65467.23,1.4987,15.734
福建,2021,49602.6,4187.0,11.847,11.6824,2900.0,22434.5,24268.2,45.23,48.93,1.0817,69.69,73384.89,1.4795,17.527
福建,2022,52099.6,4188.0,12.44,11.7313,3077.5,22470.0,26552.1,43.13,50.96,1.1817,70.13,68937.47,1.3232,16.461
贵州,2018,15886.6,3822.0,4.157,10.6351,2156.0,5506.2,8224.3,34.66,51.77,1.4936,49.53,60479.65,3.807,15.824
贵州,2019,17251.8,3848.0,4.483,10.7106,2280.5,5836.6,9134.6,33.83,52.95,1.5651,51.48,60445.73,3.5037,15.708
贵州,2020,18308.3,3858.0,4.746,10.7676,2539.9,5881.1,9887.2,32.12,54.0,1.6812,53.16,57988.74,3.1673,15.031
贵州,2021,19921.3,3852.0,5.172,10.8536,2730.5,6351.8,10839.1,31.88,54.41,1.7065,54.34,61556.49,3.09,15.98
贵州,2022,20579.5,3856.0,5.337,10.885,2862.2,6360.7,11356.7,30.91,55.18,1.7854,54.82,56758.26,2.758,14.719
辽宁,2018,24113.5,4291.0,5.62,10.9367,2020.6,9049.0,13044.0,37.53,54.09,1.4415,70.26,139067.07,5.7672,32.409
辽宁,2019,25665.9,4277.0,6.001,11.0023,2178.0,9510.3,13977.6,37.05,54.46,1.4697,71.22,157765.82,6.1469,36.887
辽宁,2020,25839.0,4255.0,6.073,11.0142,2284.8,9294.3,14259.9,35.97,55.19,1.5343,72.15,162939.67,6.306,38.294
辽宁,2021,28471.0,4229.0,6.732,11.1172,2462.1,10664.9,15344.0,37.46,53.89,1.4387,72.81,164097.94,5.7637,38.803
辽宁,2022,29739.7,4197.0,7.086,11.1685,2598.0,10924.1,16217.5,36.73,54.53,1.4846,73.0,154838.29,5.2065,36.893
重庆,2018,21866.8,3163.0,6.913,11.1437,1378.7,8842.2,11645.9,40.44,53.26,1.3171,66.61,27684.94,1.2661,8.753
重庆,2019,23689.6,3188.0,7.431,11.216,1551.6,9059.8,13078.2,38.24,55.21,1.4435,68.22,28064.96,1.1847,8.803
重庆,2020,25158.1,3209.0,7.84,11.2696,1803.5,9646.0,13708.5,38.34,54.49,1.4212,69.46,27864.08,1.1076,8.683
重庆,2021,28092.5,3212.0,8.746,11.3789,1922.3,10679.5,15490.7,38.02,55.14,1.4505,70.33,28466.36,1.0133,8.863
重庆,2022,28771.8,3213.0,8.955,11.4026,2012.6,10477.4,16281.8,36.42,56.59,1.554,70.96,28982.39,1.0073,9.02
陕西,2018,24354.8,3931.0,6.196,11.0342,1830.2,11215.3,11309.4,46.05,46.44,1.0084,59.65,128864.11,5.2911,32.782
陕西,2019,26214.5,3944.0,6.647,11.1045,1991.1,11590.2,12633.2,44.21,48.19,1.09,61.28,136715.89,5.2153,34.664
陕西,2020,26297.0,3955.0,6.649,11.1048,2267.7,10721.1,13308.2,40.77,50.61,1.2413,62.65,139116.14,5.2902,35.175
陕西,2021,30476.6,3954.0,7.708,11.2526,2409.5,12963.3,15103.7,42.54,49.56,1.1651,63.63,131738.15,4.3226,33.318
陕西,2022,33035.6,3956.0,8.351,11.3327,2574.9,14264.7,16196.0,43.18,49.03,1.1354,64.0,139863.03,4.2337,35.355
青海,2018,2799.9,587.0,4.77,10.7727,270.9,1093.7,1435.3,39.06,51.26,1.3123,57.24,11621.64,4.1507,19.798
青海,2019,3020.2,590.0,5.119,10.8433,304.8,1172.0,1543.4,38.81,51.1,1.3169,58.81,10969.4,3.632,18.592
青海,2020,3080.6,593.0,5.195,10.858,341.1,1157.5,1582.0,37.57,51.35,1.3667,60.03,9949.12,3.2296,16.778
青海,2021,3446.3,594.0,5.802,10.9685,357.1,1389.7,1699.5,40.32,49.31,1.2229,60.94,11273.45,3.2712,18.979
青海,2022,3677.4,595.0,6.181,11.0318,382.6,1618.7,1676.1,44.02,45.58,1.0355,61.51,11035.27,3.0008,18.547
黑龙江,2018,13205.7,3327.0,3.969,10.5889,3001.2,3536.0,6668.6,26.78,50.5,1.8859,63.45,73469.3,5.5635,22.083
黑龙江,2019,13962.5,3255.0,4.29,10.6666,3183.2,3668.0,7111.3,26.27,50.93,1.9387,64.61,73931.71,5.295,22.713
黑龙江,2020,14000.1,3171.0,4.415,10.6953,3445.1,3454.7,7100.3,24.68,50.72,2.0553,65.59,73776.74,5.2697,23.266
黑龙江,2021,15292.8,3125.0,4.894,10.7984,3463.9,4082.3,7746.6,26.69,50.66,1.8976,65.7,78315.44,5.1211,25.061
黑龙江,2022,16359.2,3099.0,5.279,10.8741,3635.3,4549.5,8174.4,27.81,49.97,1.7968,66.21,77391.71,4.7308,24.973
